,ArticleId,Text,Category,category_id
0,1833,worldcom ex boss launches defence lawyers defending former worldcom chief bernie ebbers against battery of fraud charges have called company whistleblower as their first witness cynthia cooper worldcom ex head of internal accounting alerted directors to irregular accounting practices at the us telecoms giant in her warnings led to the collapse of the firm following the discovery of an bn bn accounting fraud mr ebbers has pleaded not guilty to charges of fraud and conspiracy prosecution lawyers have argued that mr ebbers orchestrated series of accounting tricks at worldcom ordering employees to hide expenses and inflate revenues to meet wall street earnings estimates but ms cooper who now runs her own consulting business told jury in new york on wednesday that external auditors arthur andersen had approved worldcom accounting in early and she said andersen had given green light to the procedures and practices used by worldcom mr ebber lawyers have said he was unaware of the fraud arguing that auditors did not alert him to any problems ms cooper also said that during shareholder meetings mr ebbers often passed over technical questions to the company finance chief giving only brief answers himself the prosecution star witness former worldcom financial chief scott sullivan has said that mr ebbers ordered accounting adjustments at the firm telling him to hit our books however ms cooper said mr sullivan had not mentioned anything uncomfortable about worldcom accounting during audit committee meeting mr ebbers could face jail sentence of years if convicted of all the charges he is facing worldcom emerged from bankruptcy protection in and is now known as mci last week mci agreed to buyout by verizon communications in deal valued at bn ,business,0
1,154,german business confidence slides german business confidence fell in february knocking hopes of speedy recovery in europe largest economy munich based research institute ifo said that its confidence index fell to in february from in january its first decline in three months the study found that the outlook in both the manufacturing and retail sectors had worsened observers had been hoping that more confident business sector would signal that economic activity was picking up we re surprised that the ifo index has taken such knock said dz bank economist bernd weidensteiner the main reason is probably that the domestic economy is still weak particularly in the retail trade economy and labour minister wolfgang clement called the dip in february ifo confidence figure very mild decline he said that despite the retreat the index remained at relatively high level and that he expected modest economic upswing to continue germany economy grew last year after shrinking in however the economy contracted by during the last three months of mainly due to the reluctance of consumers to spend latest indications are that growth is still proving elusive and ifo president hans werner sinn said any improvement in german domestic demand was sluggish exports had kept things going during the first half of but demand for exports was then hit as the value of the euro hit record levels making german products less competitive overseas on top of that the unemployment rate has been stuck at close to and manufacturing firms including daimlerchrysler siemens and volkswagen have been negotiating with unions over cost cutting measures analysts said that the ifo figures and germany continuing problems may delay an interest rate rise by the european central bank eurozone interest rates are at but comments from senior officials have recently focused on the threat of inflation prompting fears that interest rates may rise ,business,0
2,1101,bbc poll indicates economic gloom citizens in majority of nations surveyed in bbc world service poll believe the world economy is worsening most respondents also said their national economy was getting worse but when asked about their own family financial outlook majority in countries said they were positive about the future almost people in countries were questioned for the poll which was mostly conducted before the asian tsunami disaster the poll found that majority or plurality of people in countries believed the economy was going downhill compared with respondents in nine countries who believed it was improving those surveyed in three countries were split in percentage terms an average of of respondents in each country said the world economy was getting worse compared to who said it was improving similarly were pessimistic about their national economy while were optimistic and saw their family economic conditions improving as against who said they were getting worse the poll of people was conducted by the international polling firm globescan together with the program on international policy attitudes pipa at the university of maryland while the world economy has picked up from difficult times just few years ago people seem to not have fully absorbed this development though they are personally experiencing its effects said pipa director steven kull people around the world are saying m ok but the world isn there may be perception that war terrorism and religious and political divisions are making the world worse place even though that has not so far been reflected in global economic performance says the bbc elizabeth blunt the countries where people were most optimistic both for the world and for their own families were two fast growing developing economies china and india followed by indonesia china has seen two decades of blistering economic growth which has led to wealth creation on huge scale says the bbc louisa lim in beijing but the results also may reflect the untrammelled confidence of people who are subject to endless government propaganda about their country rosy economic future our correspondent says south korea was the most pessimistic while respondents in italy and mexico were also quite gloomy the bbc david willey in rome says one reason for that result is the changeover from the lira to the euro in which is widely viewed as the biggest reason why their wages and salaries are worth less than they used to be the philippines was among the most upbeat countries on prospects for respondents families but one of the most pessimistic about the world economy pipa conducted the poll from november to january across countries in face to face or telephone interviews the interviews took place between november and january the margin of error is between and points depending on the country in eight of the countries the sample was limited to major metropolitan areas ,business,0
3,1976,lifestyle governs mobile choice faster better or funkier hardware alone is not going to help phone firms sell more handsets research suggests instead phone firms keen to get more out of their customers should not just be pushing the technology for its own sake consumers are far more interested in how handsets fit in with their lifestyle than they are in screen size onboard memory or the chip inside shows an in depth study by handset maker ericsson historically in the industry there has been too much focus on using technology said dr michael bjorn senior advisor on mobile media at ericsson consumer and enterprise lab we have to stop saying that these technologies will change their lives he said we should try to speak to consumers in their own language and help them see how it fits in with what they are doing he told the bbc news website for the study ericsson interviewed mobile phone owners on the ways they use their phone people habits remain the same said dr bjorn they just move the activity into the mobile phone as it a much more convenient way to do it one good example of this was diary writing among younger people he said while diaries have always been popular mobile phone especially one equipped with camera helps them keep it in different form youngsters use of text messages also reflects their desire to chat and keep in contact with friends and again just lets them do it in slightly changed way dr bjorn said that although consumers do what they always did but use phone to do it the sheer variety of what the new handset technologies make possible does gradually drive new habits and lifestyles ericsson research has shown that consumers divide into different tribes that use phones in different ways dr bjorn said groups dubbed pioneers and materialists were most interested in trying new things and were behind the start of many trends in phone use for instance he said older people are using sms much more than they did five years ago this was because younger users often the children of ageing mobile owners encouraged older people to try it so they could keep in touch another factor governing the speed of change in mobile phone use was the simple speed with which new devices are bought by pioneers and materialists only when about of people have handsets with new innovations on them such as cameras can consumers stop worrying that if they send picture message the person at the other end will be able to see it once this significant number of users is passed use of new innovations tends to take off dr bjorn said that early reports of camera phone usage in japan seemed to imply that the innovation was going to be flop however he said now of the japanese people ericsson questioned use their camera phone at least once month in the figure was similarly across europe the numbers of people taking snaps with cameras is starting to rise in only of the people in the uk took phonecam snap at least once month now the figure is similar rises have been seen in many other european nations dr bjorn said that people also used their camera phones in very different ways to film and even digital cameras usage patterns for digital cameras are almost exactly replacing usage patterns for analogue cameras he said digital cameras tend to be used on significant events such as weddings holidays and birthdays by contrast he said camera phones were being used much more to capture moment and were being woven into everyday life ,tech,1
4,917,enron bosses in payout eighteen former enron directors have agreed m settlement deal in shareholder lawsuit over the collapse of the energy firm leading plaintiff the university of california announced the news adding that of the former directors will pay from their own pockets the settlement will be put to the courts for approval next week enron went bankrupt in after it emerged it had hidden hundreds of millions of dollars in debt before its collapse the firm was the seventh biggest public us company by revenue its demise sent shockwaves through financial markets and dented investor confidence in corporate america the settlement is very significant in holding these outside directors at least partially personally responsible william lerach the lawyer leading the class action suit against enron said hopefully this will help send message to corporate boardrooms of the importance of directors performing their legal duties he added under the terms of the settlement of which will be covered by insurance none of the former directors will admit any wrongdoing the deal is the fourth major settlement negotiated by lawyers who filed class action on behalf of enron shareholders almost three years ago so far including the latest deal just under m has been retrieved for investors however the latest deal does not include former enron chief executives ken lay and jeff skilling both men are facing criminal charges for their alleged misconduct in the run up to the firm collapse neither does it cover andrew fastow who has pleaded guilty to taking part in an illegal conspiracy while he was chief financial officer at the group enron shareholders are still seeking damages from long list of other big name defendants including the financial institutions jp morgan chase citigroup merrill lynch and credit suisse first boston the university of california said the trial in the case is scheduled to begin in october it joined the lawsuit in december alleging massive insider trading and fraud claiming it had lost on its investments in the company ,business,0
5,1582,howard truanted to play snooker conservative leader michael howard has admitted he used to play truant to spend time with his school friends at snooker hall mr howard said his time at jack snooker hall in llanelli in the had not done him any lasting damage but he told the times educational supplement that truancy was very bad and said firm action was needed mr howard also called for return to levels and more classroom discipline mr howard eventually left llanelli grammar school and the snooker hall to go to cambridge university he said don think it done me any lasting damage nor has it made me snooker world champion there might have been some occasions when we left early of an afternoon m just being honest think truancy is very bad thing and that firm action should be taken to deal with it another player who has failed to win snooker world championship jimmy the whirlwind white has previously admitted missing lessons instead spending his days in smoky halls tony meo another player and me used to spend all of our spare time there mr white said we loved the game and the atmosphere school went out of the window went for while and then started taking time off mr howard fellow welshman ray reardon known by his fellow professionals as dracula won the snooker world championship six times having left school at to work as miner and terry griffiths like mr howard from llanelli won the tournament in it is not known whether the two of them ever clashed cues at jack ,politics,2
6,651,wales silent on grand slam talk rhys williams says wales are still not thinking of winning the grand slam despite third six nations win that the last thing on our minds at the moment said williams second half replacement in saturday win over france in paris we all realise how difficult task it is to go up to scotland and beat them we ve come unstuck there couple of times recently so our focus is on that game and we ll worry about ireland hopefully after we ve beaten scotland with captain gareth thomas ruled out of the rest of the campaign with broken thumb williams is vying for his first start in the championship so far kevin morgan is probably favourite to replace thomas at full back leaving williams and hal luscombe to battle for the right wing berth hamstring injury denied luscombe the opportunity to make third successive start but the dragons winger is expected to be fit for the trip to murrayfield on march hooker robin mcbryde is doubtful after picking up knee injury in paris but centre sonny parker and flanker colin charvis are set to recover from injury to be in contention for selection said wales assistant coach scott johnson they ve worked through the weekend and the reports are bit more positive so we re getting couple back and that adds to the depth of the squad scotland secured their first win of the campaign on saturday by grinding out an win over italy matt williams side has shown little in attack but johnson insisted the scots will be difficult opposition to break down italy are really brave opposition and sometimes it very hard to win he said so an ugly win can be just as effective as or point victory scotland are hard side and very underrated so we re not taking anything for granted we re not basking in the glory of winning our first three games we ve got to be diligent in our preparation that my job and we ve got to make sure we re focused ,sport,3
7,1797,french honour for director parker british film director sir alan parker has been made an officer in the order of arts and letters one of france highest cultural honours sir alan received his decoration in paris on wednesday from french culture minister renaud donnedieu de vabres you have explored the possibilities of film with an immense talent mr de vabres said as he presented the award parker praised french films saying hollywood which created modern cinema uses it only as commodity he told the minister am honoured to be thus distinguished by france the flag carrier of cinema throughout the world sir alan films include oscar winning fame plus midnight express and the commitments founding member of the director guild of great britain he is former chairman of the uk film council and on the board of the british film institute through your work and your campaigns you have shown us how the artist occupies an essential place in our contemporary society mr de vabres said through your dreams which you show us through the links that you weave you question the world through the mirror of your work he also cited the director film the life of david gale in which kevin spacey played man on death row as proof of his veritable artistic commitment against the death sentence ,entertainment,4
8,2034,car giant hit by mercedes slump slump in profitability at luxury car maker mercedes has prompted big drop in profits at parent daimlerchrysler the german us carmaker saw fourth quarter operating profits fall to euros bn from bn euros in mercedes benz woes its profits slid to just euros obscured strong performance from the chrysler group whose returns met market expectations mercedes faces fierce competition in the luxury car sector from bmw and but hopes to revive its fortunes by mercedes profits over the period compared unfavourably with m euro figure and were well below analyst expectations of euros for the year as whole its operating profits fell to bn euros sales of mercedes brands fell as demand cooled while revenues were affected by the weakness of the us dollar the carmaker blamed the fall in profits on high launch costs for new models and losses from its mercedes smart mini car range mercedes is hoping to increase productivity by bn euros having negotiated euros in annual savings with german workers last year the firm said it was determined to retain mercedes position as the world most successful luxury brand however daimlerchrysler shares fell on the news while all these divisions are doing well the big worries continue to surround mercedes benz michael rabb an analyst with bank sal oppenheim told reuters in contrast chrysler enjoyed annual increase in unit sales while revenues calculated in us dollars rose the us division whose marques include dodge and jeep transformed full year operating loss of euros in into bn euros profit last year overall daimlerchrysler saw worldwide vehicle sales rise to million in while total revenues added to bn euros chrysler strong performance helped the world fifth largest carmaker boost net income by euros to bn euros the year shows that our strategy works well even in such challenging competitive environment said jurgen schrempp daimlerchrysler chairman daimlerchrysler took m euro hit in costs stemming from defects scandal at its joint venture japanese subsidiary fuso daimlerchrysler last week agreed compensation package with partner mitsubishi motors which will see it buy out its stake in fuso looking forward daimerchrysler profits are expected to be slightly higher in however it is expecting significant improvements in profitability in as result of major investment in the mercedes product range ,business,0
9,1866,fockers fuel festive film chart comedy meet the fockers topped the festive box office in north america setting new record for christmas day the sequel took m between and december according to studio estimates it took m on christmas day alone the highest takings on that day in box office history meet the fockers is the sequel to ben stiller comedy meet the parents also starring robert de niro blythe danner dustin hoffman and barbra streisand despite the success of meet the fockers takings were down on figures which was blamed on christmas falling over weekend this year when christmas falls on weekend it bad for business said paul dergarabedian president of exhibitor relations which compiles box office statistics the weekend top films took an estimated m compared with m last year when the third lord of the rings film dominated the box office meet the fockers knocked last week top film lemony snicket a series of unfortunate events down to third place with m comedy fat albert co written by bill cosby entered the chart in second place after opening on christmas day taking m the aviator starring leonardo dicaprio as howard hughes took after expanding from to cinemas on christmas day ,entertainment,4
